,phrase,label,sentiment,subjectivity,language,count
Cons,Cons,MISC,,,fr,1
Coca,Coca,MISC,-0.0725,0.15,fr,1
Dune,Dune,MISC,,,fr,1
Premier ministre ,Premier ministre ,MISC,,,fr,1
New York Zohran Mamdani,New York Zohran Mamdani,MISC,,,fr,1
prix Nobel d’,prix Nobel d’,MISC,,,fr,1
Premier ministre polonais,Premier ministre polonais,MISC,,,fr,1
Péter,Péter,MISC,,,fr,1
Journal officiel,Journal officiel,MISC,,,fr,1
Elon Musk snobe,Elon Musk snobe,MISC,,,fr,1
Premier ministre belge,Premier ministre belge,MISC,,,fr,1
guerre froide,guerre froide,MISC,,,fr,1
intensifieUne,intensifieUne,MISC,,,fr,1
Le Premier ministre israélien,Le Premier ministre israélien,MISC,,,fr,1
Premier ministre en Hongr,Premier ministre en Hongr,MISC,,,fr,1
guerre dIran,guerre dIran,MISC,,,fr,1
Donald Trump Camille,Donald Trump Camille,MISC,,,fr,1
Président,Président,MISC,,,fr,1
Ruby,Ruby,MISC,,,fr,1
Eurovision,Eurovision,MISC,0.030625,0.17500000000000002,fr,1
The White House App,The White House App,MISC,,,fr,1
Obnubilé,Obnubilé,MISC,,,fr,1
Congrès Marjorie Taylor Greene,Congrès Marjorie Taylor Greene,MISC,,,fr,1
Rares,Rares,MISC,,,fr,1
The Drama,The Drama,MISC,,,fr,1
Une réelle implication,Une réelle implication,MISC,,,fr,1
guerre au Liban,guerre au Liban,MISC,,,fr,1
Alliance Le divorce,Alliance Le divorce,MISC,,,fr,1
Lappartement avenue Foch,Lappartement avenue Foch,MISC,,,fr,1
Why Not Cafe and Bar,Why Not Cafe and Bar,MISC,,,fr,1
La Première dame des Etats,La Première dame des Etats,MISC,,,fr,1
La Première dame,La Première dame,MISC,,,fr,1
États-Unis »,États-Unis »,MISC,,,fr,1
La Première dame américaine,La Première dame américaine,MISC,,,fr,1
lagenda officiel de la Maison Blanche,lagenda officiel de la Maison Blanche,MISC,,,fr,1
lAFP,lAFP,MISC,,,fr,1
Maison-Blanche ,Maison-Blanche ,MISC,,,fr,1
Le Premier ministre nationaliste,Le Premier ministre nationaliste,MISC,,,fr,1
DOCUMENT,DOCUMENT,MISC,,,fr,1
Retailleau,Retailleau,MISC,,,fr,1
Politico,Politico,MISC,-0.06400000000000002,0.10999999999999999,fr,1
Scènes de liesse,Scènes de liesse,MISC,,,fr,1
Congrès américain sur l'affaire Epstein,Congrès américain sur l'affaire Epstein,MISC,,,fr,1
iOS,iOS,MISC,,,fr,1
Android,Android,MISC,,,fr,1
Disney,Disney,MISC,,,fr,1
Marvel Studios,Marvel Studios,MISC,,,fr,1
Daredevil : Born Again,Daredevil : Born Again,MISC,,,fr,1
Go,Go,MISC,,,fr,1
lAtlantique,lAtlantique,MISC,,,fr,1
La publication,La publication,MISC,,,fr,1
croisade de,croisade de,MISC,,,fr,1
Complot ukrainien,Complot ukrainien,MISC,,,fr,1
ultimatum de Trump,ultimatum de Trump,MISC,,,fr,1
Donald Trump lundi,Donald Trump lundi,MISC,,,fr,1
Ex,Ex,MISC,,,fr,1
Le Premier Ministre hongrois,Le Premier Ministre hongrois,MISC,,,fr,1
King Zero,King Zero,MISC,,,fr,1
Young Bond,Young Bond,MISC,,,fr,1
Est de la Maison-Blanche,Est de la Maison-Blanche,MISC,,,fr,1
Mardi 31 mars,Mardi 31 mars,MISC,,,fr,1
Melania Trump ,Melania Trump ,MISC,,,fr,1
Première dame,Première dame,MISC,,,fr,1
Etats-Unis mardi,Etats-Unis mardi,MISC,,,fr,1
PETER KOHALMI,PETER KOHALMI,MISC,,,fr,1
Lors de la première de la saison,Lors de la première de la saison,MISC,,,fr,1
Premier ministre au pouvoir,Premier ministre au pouvoir,MISC,,,fr,1
indép,indép,MISC,,,fr,1
Eurodéputé vert allemand,Eurodéputé vert allemand,MISC,,,fr,1
Premier mi,Premier mi,MISC,,,fr,1
Dun,Dun,MISC,,,fr,1
Premier ministre dextrême,Premier ministre dextrême,MISC,,,fr,1
Défaite p,Défaite p,MISC,,,fr,1
La guerre contre les,La guerre contre les,MISC,,,fr,1
Orbán,Orbán,MISC,0.010888888888888889,0.010222222222222221,fr,1
Respect et liberté,Respect et liberté,MISC,,,fr,1
Life is elsewhere »,Life is elsewhere »,MISC,,,fr,1
M.,M.,MISC,,,fr,1
Les chiffres sont saisissants,Les chiffres sont saisissants,MISC,,,fr,1
Nuit de fête,Nuit de fête,MISC,,,fr,1
Cest la fin dune ère,Cest la fin dune ère,MISC,,,fr,1
MONTAGE,MONTAGE,MISC,,,fr,1
dAttila,dAttila,MISC,,,fr,1
Huns,Huns,MISC,,,fr,1
Tyson Fury na,Tyson Fury na,MISC,,,fr,1
Volodymyr Ze,Volodymyr Ze,MISC,,,fr,1
Boxe,Boxe,MISC,,,fr,1
