keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Boris Pistorius',fr,Deutschland,#1818e8,#1818e8,1,0.208286351931
'King Charles III',fr,UK,#e838e8,#e838e8,1,0.208135379872
'Michelle Obama',fr,USA,#18e8e8,#18e8e8,2,0.207765760890
'Andreas Jung',fr,Deutschland,#1818e8,#1818e8,1,0.207562761476
'Mohammed bin Salman',fr,SaudiArabien,#22bb66,#22bb66,2,0.204975838011
'Werner von Braun',fr,Deutschland,#1818e8,#1818e8,1,0.204775215013
'Joachim Gauck',fr,Deutschland,#1818e8,#1818e8,1,0.204717067683
'Maybrit Illner',fr,Deutschland,#1818e8,#1818e8,1,0.203896076570
'Alfred Bernhard Nobel',fr,Schweden,#ddee11,#ddee11,1,0.203660738437
'Olli Schulz',fr,Deutschland,#1818e8,#1818e8,1,0.202186417777
'Antony Blinken',fr,USA,#18e8e8,#18e8e8,2,0.202128178476
'Angela Merkel',fr,Deutschland,#1818e8,#1818e8,2,0.201603227124
'Giorgia Meloni',fr,Italien,#33dd55,#33dd55,3,0.201241522495
'Ricarda Lang',fr,Deutschland,#1818e8,#1818e8,1,0.200877537207
'Gabor Steingart',fr,Deutschland,#1818e8,#1818e8,1,0.200115677410
'Faisal Kawusi',fr,Deutschland,#1818e8,#1818e8,1,0.199949052960
'Katalin Novák',fr,Ungarn,#111111,#111111,1,0.199620232362
'Jim Jordan',fr,unknown,#111111,#111111,1,0.199011629374
'Immanuel Kant',fr,Deutschland,#1818e8,#1818e8,1,0.198350186183
'Boris Palmer',fr,Deutschland,#1818e8,#1818e8,2,0.198276329825
'Franziska Giffey',fr,Deutschland,#1818e8,#1818e8,3,0.198223685399
'Markus Krebber',fr,Deutschland,#1818e8,#1818e8,1,0.197764296198
'Mark Zuckerberg',fr,USA,#18e8e8,#18e8e8,3,0.196834400935
'Chez Krömer',fr,Deutschland,#1818e8,#1818e8,1,0.196397363044
'Mike Pence',fr,USA,#18e8e8,#18e8e8,1,0.196391398584
'Katharina König-Press',fr,Deutschland,#1818e8,#1818e8,2,0.195749463335
'Michelle O\'Neill',fr,Irland,#4488cc,#4488cc,1,0.195665125443
'Charles Koch',fr,USA,#18e8e8,#18e8e8,2,0.195358545707
'Christine Lambrecht',fr,Deutschland,#1818e8,#1818e8,1,0.195197673561
'Mateusz Morawiecki',fr,Polen,#cc8844,#cc8844,1,0.194628019876
'Tino Chrupalla',fr,Deutschland,#1818e8,#1818e8,2,0.193789984578
'Katja Krasavice',fr,Deutschland,#1818e8,#1818e8,1,0.193376967217
'Jeffrey Donaldson',fr,Irland,#4488cc,#4488cc,1,0.192469256620
'Katarina Barley',fr,EU,#88cc44,#88cc44,1,0.191615304329
'Christoph Heusgen',fr,Deutschland,#1818e8,#1818e8,3,0.191097369710
'Gisele Bundchen',fr,unknown,#111111,#111111,1,0.190617530688
'Karine Jean-Pierre',fr,USA,#18e8e8,#18e8e8,3,0.190418801885
'Kylie Kelce',fr,unknown,#111111,#111111,1,0.190375370804
'Kemal Klçdarolu',fr,Türkei,#66bb22,#66bb22,1,0.189908675863
'König Felipe VI',fr,Spanien,#33aa99,#33aa99,1,0.189738859055
'Wolfgang Schäuble',fr,Deutschland,#1818e8,#1818e8,2,0.188788321775
'Wladimir Putin',fr,Russland,#e81818,#e81818,1,0.188745212035
'Steve Milloy',fr,USA,#18e8e8,#18e8e8,1,0.188574757812
'Missy Motown',fr,Deutschland,#1818e8,#1818e8,1,0.188574757812
'Michelle Neill',fr,Irland,#4488cc,#4488cc,1,0.188574757812
'Edir Macedo',fr,Brasilien,#58e838,#58e848,1,0.188574757812
'Andreas Ellermann',fr,Deutschland,#1818e8,#1818e8,1,0.188574757812
'Gerhard Schröder',fr,Deutschland,#1818e8,#1818e8,2,0.188558763208
